billIndex,billId,billStatus,billType,billTitle
147,s1131-114,REFERRED,s,Medicare Diabetes Prevention Act of 2015
148,s1132-114,REFERRED,s,Registered Nurse Safe Staffing Act of 2015
149,s1133-114,REFERRED,s,Arbitration Fairness Act of 2015
150,s1134-114,REFERRED,s,"Heroin and Prescription Opioid Abuse Prevention, Education, and Enforcement Act of 2015"
151,s1135-114,REFERRED,s,Hospital Payment Fairness Act of 2015
152,s1136-114,REFERRED,s,"A bill relating to the modernization of C-130 aircraft to meet applicable regulations of the Federal Aviation Administration, and for other purposes."
153,s1137-114,REPORTED,s,PATENT Act
154,s1138-114,REFERRED,s,Reclassification to Ensure Smarter and Equal Treatment Act of 2015
155,s1139-114,REFERRED,s,Same Day Registration Act
156,s114-114,REFERRED,s,Veterans Affairs Research Transparency Act of 2015
157,s1140-114,PROV_KILL:CLOTUREFAILED,s,Federal Water Quality Protection Act
158,s1141-114,REFERRED,s,Small Business Tax Certainty and Growth Act of 2015
159,s1142-114,REFERRED,s,Native Species Protection Act
160,s1143-114,REPORTED,s,West Coast Dungeness Crab Management Act
161,s1144-114,REFERRED,s,Federal Employees Sustainable Investment Act
162,s1145-114,REFERRED,s,Robert C. Byrd Mine Safety Protection Act of 2015
163,s1146-114,REFERRED,s,Healthy School Meals Flexibility Act
164,s1147-114,REFERRED,s,"A bill to designate the Federal building and United States courthouse located at 83 Meeting Street in Charleston, South Carolina, as the ""J. Waties Waring Judicial Center""."
165,s1148-114,REFERRED,s,Resident Physician Shortage Reduction Act of 2015
166,s1149-114,REFERRED,s,"A bill to amend title XVIII of the Social Security Act to require reporting of certain data by providers and suppliers of air ambulance services for purposes of reforming reimbursements for such services under the Medicare program, and for other purposes."
167,s115-114,REFERRED,s,Transparency in Small Business Assistance Act
168,s1150-114,REFERRED,s,Raise the Wage Act
169,s1151-114,REFERRED,s,USPSTF Transparency and Accountability Act of 2015
170,s1152-114,REFERRED,s,Foreclosure Relief and Extension for Servicemembers Act of 2015
171,s1153-114,REFERRED,s,Red River Private Property Protection Act
172,s1154-114,REFERRED,s,Subsistence Access Management Act of 2015
173,s1155-114,REFERRED,s,Geothermal Exploration and Technology Act of 2015
174,s1156-114,REFERRED,s,Protecting Employees and Retirees in Business Bankruptcies Act of 2015
175,s1157-114,REFERRED,s,"A bill to require the Director of the Office of Management and Budget to consider Brunswick County, North Carolina to be part of the same metropolitan statistical area as Wilmington, North Carolina."
176,s1158-114,REFERRED,s,Consumer Privacy Protection Act of 2015
177,s1159-114,REFERRED,s,Public Good IRA Rollover Act of 2015
178,s116-114,REFERRED,s,Telephone Excise Tax Elimination Act of 2015
179,s1160-114,REFERRED,s,Public Lands Service Corps Act of 2015
180,s1161-114,REFERRED,s,Horse Protection Amendments Act of 2015
181,s1162-114,REFERRED,s,Federal Law Enforcement Self-Defense and Protection Act of 2015
182,s1163-114,REPORTED,s,Native American Languages Reauthorization Act of 2015
183,s1164-114,REFERRED,s,End Discriminatory State Taxes for Automobile Renters Act of 2015
184,s1165-114,REFERRED,s,Protecting Students from Worthless Degrees Act
185,s1166-114,REFERRED,s,BUILD Career and Technical Education Act of 2015
186,s1167-114,REPORTED,s,Owyhee Wilderness Areas Boundary Modifications Act
187,s1168-114,REFERRED,s,Preserving Rehabilitation Innovation Centers Act of 2015
188,s1169-114,REPORTED,s,Juvenile Justice and Delinquency Prevention Reauthorization Act of 2015
189,s117-114,REFERRED,s,Jerusalem Embassy and Recognition Act of 2015
190,s1170-114,ENACTED:SIGNED,s,Breast Cancer Research Stamp Reauthorization Act of 2015
191,s1171-114,REFERRED,s,Seismic Moratorium Act
192,s1172-114,ENACTED:SIGNED,s,"Edward ""Ted"" Kaufman and Michael Leavitt Presidential Transitions Improvements Act of 2015"
193,s1173-114,REFERRED,s,Raechel and Jacqueline Houck Safe Rental Car Act of 2015
194,s1174-114,REFERRED,s,Teller All Gone Horseracing Deregulation Act of 2015
195,s1175-114,REFERRED,s,Hazardous Materials Rail Transportation Safety Improvement Act of 2015
196,s1176-114,REFERRED,s,EMPOWER Act of 2015
197,s1177-114,ENACTED:SIGNED,s,Every Child Achieves Act of 2015
198,s1178-114,REFERRED,s,Defending Rivers from Overreaching Policies Act of 2015
199,s1179-114,REFERRED,s,Advancing Growth in the Economy through Distilled Spirits Act
200,s118-114,REFERRED,s,Stopping Illegal Obamacare Subsidies Act
201,s1180-114,ENACTED:SIGNED,s,Integrated Public Alert and Warning System Modernization Act of 2015
202,s1181-114,REFERRED,s,Energy Technologies Access and Accountability Act
203,s1182-114,REPORTED,s,A bill to exempt application of JSA attribution rule in case of existing agreements.
204,s1183-114,REFERRED,s,STEM Gateways Act
205,s1184-114,REFERRED,s,Computer Science Career Education Act of 2015
206,s1185-114,REFERRED,s,Educating Tomorrow's Engineers Act of 2015
207,s1186-114,REFERRED,s,Move America Act of 2015
208,s1187-114,REFERRED,s,"America Implementing New National Opportunities To Vigorously Accelerate Technology, Energy, and Science Act"
209,s1188-114,REFERRED,s,"A bill to provide for a temporary, emergency authorization of defense articles, defense services, and related training directly to the Kurdistan Regional Government, and for other purposes."
210,s1189-114,REFERRED,s,Conrad State 30 and Physician Access Act
211,s119-114,REFERRED,s,Wounded Veterans Recreation Act of 2015
212,s1190-114,REFERRED,s,Ensuring Seniors Access to Local Pharmacies Act of 2015
213,s1191-114,REFERRED,s,Point Reyes Coast Guard Housing Conveyance Act
214,s1192-114,REFERRED,s,Breast Cancer Patient Education Act of 2015
215,s1193-114,REFERRED,s,A bill to amend the Internal Revenue Code of 1986 to make permanent and expand the temporary minimum credit rate for the low-income housing tax credit program.
216,s1194-114,REFERRED,s,GRIDD Act of 2015
217,s1195-114,REFERRED,s,Student Right to Know Before You Go Act of 2015
218,s1196-114,REFERRED,s,Federal Land Access Act
219,s1197-114,REFERRED,s,Promoting Opportunity through Informed Choice Act
220,s1198-114,REFERRED,s,Improving the Integrity of Disability Evidence Act
221,s1199-114,REFERRED,s,"A bill to authorize Federal agencies to provide alternative fuel to Federal employees on a reimbursable basis, and for other purposes."
222,s12-114,REFERRED,s,Hire More Heroes Act of 2015
223,s120-114,REFERRED,s,"A bill to amend the Water Resources Development Act of 2000 to authorize the Central Everglades Planning Project, Florida."
224,s1200-114,REFERRED,s,Fairness to Pet Owners Act of 2015
225,s1201-114,REFERRED,s,Clean Distributed Energy Grid Integration Act
226,s1202-114,REFERRED,s,HEAT Act
227,s1203-114,PASS_OVER:SENATE,s,21st Century Veterans Benefits Delivery and Other Improvements Act
228,s1204-114,REFERRED,s,Corolla Wild Horses Protection Act
229,s1205-114,REFERRED,s,National Nurse Act of 2015
230,s1206-114,REFERRED,s,"Too Big To Fail, Too Big To Exist Act"
231,s1207-114,REFERRED,s,Next Generation Electric Systems Act
232,s1208-114,REFERRED,s,Pipeline Modernization and Consumer Protection Act
233,s1209-114,REFERRED,s,Pipeline Revolving Fund and Job Creation Act
234,s121-114,REFERRED,s,Obamacare Opt-Out Act of 2015
235,s1210-114,REFERRED,s,Oil and Gas Production and Distribution Reform Act of 2015
236,s1211-114,REFERRED,s,"A bill to amend title XVIII of the Social Security Act to provide that payment under the Medicare program to a long-term care hospital for inpatient services shall not be made at the applicable site neutral payment rate for certain discharges involving severe wounds, and for other purposes."
237,s1212-114,REFERRED,s,Promotion and Expansion of Private Employee Ownership Act of 2015
238,s1213-114,REFERRED,s,Free Market Energy Act of 2015
239,s1214-114,REFERRED,s,John Rainey Memorial Safeguard American Food Exports (SAFE) Act
240,s1215-114,REFERRED,s,Methane Hydrate Research and Development Amendments Act of 2015
241,s1216-114,REFERRED,s,A bill to amend the Natural Gas Act to modify a provision relating to civil penalties.
242,s1217-114,REFERRED,s,Electric Transmission Infrastructure Permitting Improvement Act
243,s1218-114,REFERRED,s,NEWS Act of 2015
244,s1219-114,REFERRED,s,A bill to amend the Public Utility Regulatory Policies Act of 1978 to provide for the safe and reliable interconnection of distributed resources and to provide for the examination of the effects of net metering.
245,s122-114,REFERRED,s,Safe and Affordable Drugs from Canada Act of 2015
246,s1220-114,REFERRED,s,Energy Distribution Act of 2015
247,s1221-114,REFERRED,s,Bulk-Power System Reliability Impact Statement Act
248,s1222-114,REFERRED,s,Continuity of Electric Capacity Resources Act
249,s1223-114,REFERRED,s,Energy Loan Program Improvement Act of 2015
250,s1224-114,REFERRED,s,Condensate Act of 2015
251,s1225-114,REFERRED,s,Federal Land Asset Inventory Reform Act of 2015
252,s1226-114,REFERRED,s,American Helium Production Act of 2015
253,s1227-114,REFERRED,s,A bill to require the Secretary of Energy to develop an implementation strategy to promote the development of hybrid micro-grid systems for isolated communities.
254,s1228-114,REFERRED,s,North American Energy Infrastructure Act
255,s1229-114,REFERRED,s,A bill to require the Secretary of Energy to submit a plan to implement recommendations to improve interactions between the Department of Energy and National Laboratories.
256,s123-114,REFERRED,s,Obamacare Taxpayer Bailout Prevention Act
257,s1230-114,REFERRED,s,A bill to direct the Secretary of the Interior to establish a program under which the Director of the Bureau of Land Management shall enter into memoranda of understanding with States providing for State oversight of oil and gas productions activities.
258,s1231-114,REFERRED,s,Strategic Petroleum Reserve Modernization Act of 2015
259,s1232-114,REFERRED,s,Smart Grid Act of 2015
260,s1233-114,REFERRED,s,PURPA PLUS Act
261,s1234-114,REFERRED,s,FIX Act
262,s1235-114,REFERRED,s,Alaska Native Energy Assistance Program Act
263,s1236-114,REFERRED,s,Hydropower Improvement Act of 2015
264,s1237-114,REFERRED,s,A bill to amend the Natural Gas Act to limit the authority of the Secretary of Energy to approve certain proposals relating to export activities of liquefied natural gas terminals.
265,s1238-114,REFERRED,s,Annual Report on United States Contributions to the United Nations Act
266,s1239-114,REFERRED,s,A bill to amend the Clean Air Act with respect to the ethanol waiver for the Reid vapor pressure limitations under that Act.
267,s124-114,REFERRED,s,A bill to amend the Water Resources Development Act of 1996 to deauthorize the Ten Mile Creek Water Preserve Area Critical Restoration Project.
268,s1240-114,REPORTED,s,Cerros del Norte Conservation Act
269,s1241-114,REFERRED,s,Enhanced Grid Security Act of 2015
270,s1242-114,REFERRED,s,Regional Gas Consumer Protection Act
271,s1243-114,REFERRED,s,Grid Modernization Act of 2015
272,s1244-114,REFERRED,s,Community Access Preservation Act
273,s1245-114,REFERRED,s,Protecting Communities and Police Act of 2015
274,s1246-114,REFERRED,s,Protecting America's Paper for Recycling Act
275,s1247-114,REFERRED,s,"A bill to designate Union Station in Washington, DC, as ""Harry S. Truman Union Station""."
276,s1248-114,REFERRED,s,Fed Accountability Act of 2015
277,s1249-114,REFERRED,s,Military Families Credit Reporting Act
278,s125-114,ENACTED:SIGNED,s,Bulletproof Vest Partnership Grant Program Reauthorization Act of 2015
279,s1250-114,REPORTED,s,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Act of 2015
280,s1251-114,REPORTED,s,Northwest Atlantic Fisheries Convention Amendments Act
281,s1252-114,ENACTED:SIGNED,s,Global Food Security Act of 2016
282,s1253-114,REPORTED,s,Patient Access to Disposable Medical Technology Act of 2015
283,s1254-114,REFERRED,s,Families for Foster Youth Stamp Act of 2015
284,s1255-114,REFERRED,s,Sutton Mountain and Painted Hills Area Preservation and Economic Enhancement Act of 2015
285,s1256-114,REFERRED,s,Advancing Grid Storage Act of 2015
286,s1257-114,REFERRED,s,Department of Veterans Affairs Employee Fairness Act of 2015
287,s1258-114,REFERRED,s,Local Energy Supply and Resiliency Act of 2015
288,s1259-114,REFERRED,s,National Laboratory Technology Maturation Act of 2015
289,s126-114,REFERRED,s,A bill to provide a permanent deduction for State and local general sales taxes.
290,s1260-114,REFERRED,s,Sunshine in Sponsorship Identification Act
291,s1261-114,REFERRED,s,Wireless Telecommunications Tax and Fee Collection Fairness Act of 2015
292,s1262-114,REFERRED,s,Small Business Start-up Savings Accounts Act of 2015
293,s1263-114,REFERRED,s,Clean Energy Technology Manufacturing and Export Assistance Act of 2015
294,s1264-114,REFERRED,s,Renewable Electricity Standard Act
295,s1265-114,REFERRED,s,Long Range Bomber Sustainment Act of 2015
296,s1266-114,REFERRED,s,HUBZone Expansion Act of 2015
297,s1267-114,REPORTED,s,Trade Preferences Extension Act of 2015
298,s1268-114,REPORTED,s,Trade Adjustment Assistance Reauthorization Act of 2015
299,s1269-114,REPORTED,s,Trade Facilitation and Trade Enforcement Act of 2015
