id,sentiment,score_compound,score_neg,score_neu,score_pos
1320829,neu,0.0516,0.074,0.845,0.081
1320830,neu,0.2519,0.041,0.904,0.055
1320831,neu,0.0,0.0,1.0,0.0
1320832,neu,-0.5267,0.272,0.635,0.093
1320833,neu,-0.8835,0.212,0.715,0.074
1320834,neu,-0.3612,0.128,0.872,0.0
1320835,neu,-0.3818,0.178,0.822,0.0
1320836,neu,0.0,0.0,1.0,0.0
1320837,neu,0.9137,0.027,0.797,0.175
1320838,neu,-0.5267,0.115,0.821,0.065
1320839,neu,-0.7783,0.459,0.541,0.0
1320840,neu,-0.2732,0.213,0.673,0.114
1320841,neu,-0.4404,0.266,0.734,0.0
1320842,neu,0.6059,0.0,0.809,0.191
1320843,neu,-0.1027,0.113,0.792,0.096
1320844,neu,0.8378,0.0,0.701,0.299
1320845,neu,0.0,0.0,1.0,0.0
1320846,neu,0.2732,0.0,0.87,0.13
1320847,neu,0.4939,0.0,0.625,0.375
1320848,neu,0.0,0.0,1.0,0.0
1320849,neu,0.1531,0.079,0.821,0.1
1320850,neu,0.0,0.0,1.0,0.0
1320851,neu,0.0,0.0,1.0,0.0
1320852,neu,0.2263,0.167,0.635,0.197
1320853,neu,0.3657,0.0,0.735,0.265
1320854,neu,-0.1027,0.3,0.444,0.256
1320855,neu,0.0,0.0,1.0,0.0
1320856,neu,-0.4417,0.145,0.789,0.066
1320857,neu,0.6908,0.0,0.892,0.108
1320858,neg,-0.8885,0.568,0.432,0.0
1320859,neu,0.0,0.0,1.0,0.0
1320860,neu,-0.4023,0.184,0.816,0.0
1320861,neu,0.5574,0.0,0.884,0.116
1320862,neu,-0.0258,0.243,0.522,0.235
1320863,neu,-0.6868,0.485,0.515,0.0
1320864,pos,0.3612,0.0,0.0,1.0
1320865,neu,0.9334,0.052,0.786,0.162
1320866,neu,0.3309,0.212,0.445,0.343
1320867,neu,-0.4767,0.134,0.866,0.0
1320868,neu,0.5559,0.0,0.797,0.203
1320869,neu,0.4404,0.0,0.633,0.367
1320870,neu,-0.5267,0.405,0.595,0.0
1320871,neu,0.0,0.0,1.0,0.0
1320872,neu,0.3612,0.0,0.762,0.238
1320873,neu,0.872,0.046,0.57,0.384
1320874,neu,0.0,0.0,1.0,0.0
1320875,neu,0.5994,0.062,0.765,0.173
1320876,neu,-0.364,0.21,0.62,0.169
1320877,neg,-0.6167,0.627,0.373,0.0
1320878,neu,0.0,0.0,1.0,0.0
1320879,neu,0.0,0.0,1.0,0.0
1320880,neu,0.0,0.0,1.0,0.0
1320881,neu,0.4215,0.0,0.517,0.483
1320882,neu,0.2732,0.0,0.811,0.189
1320883,neu,0.0,0.0,1.0,0.0
1320884,neu,0.0,0.0,1.0,0.0
1320885,neu,-0.6808,0.338,0.662,0.0
1320886,neu,-0.0129,0.221,0.562,0.217
1320887,neu,-0.4767,0.437,0.563,0.0
1320888,neu,0.4404,0.0,0.791,0.209
1320889,neu,0.0,0.0,1.0,0.0
1320890,neu,0.0,0.0,1.0,0.0
1320891,neu,0.0,0.0,1.0,0.0
1320892,neu,-0.3167,0.138,0.781,0.081
1320893,neu,0.0,0.0,1.0,0.0
1320894,neu,-0.8176,0.215,0.785,0.0
1320895,neu,0.0,0.0,1.0,0.0
1320896,neu,-0.7096,0.288,0.651,0.06
1320897,neu,-0.4897,0.127,0.804,0.069
1320898,neu,0.0,0.0,1.0,0.0
1320899,neu,0.0,0.0,1.0,0.0
1320900,neu,0.0,0.0,1.0,0.0
1320901,neu,0.0,0.0,1.0,0.0
1320902,neu,-0.8346,0.152,0.848,0.0
1320903,neu,0.8439,0.0,0.725,0.275
1320904,neu,0.0,0.0,1.0,0.0
1320905,neu,0.0,0.0,1.0,0.0
1320906,neu,0.25,0.177,0.565,0.258
1320907,neu,-0.3384,0.076,0.924,0.0
1320908,neu,-0.8206,0.215,0.785,0.0
1320909,neu,0.0,0.0,1.0,0.0
1320910,neu,0.7717,0.0,0.628,0.372
1320911,neu,0.6597,0.027,0.876,0.097
1320912,neu,0.0,0.0,1.0,0.0
1320913,neu,-0.7884,0.175,0.778,0.046
1320914,neu,-0.3384,0.081,0.919,0.0
1320915,neu,0.4174,0.127,0.753,0.12
1320916,neu,-0.8176,0.181,0.718,0.101
1320917,neu,-0.1725,0.099,0.824,0.077
1320918,neu,0.296,0.0,0.82,0.18
1320919,neu,0.0,0.0,1.0,0.0
1320920,neu,0.6124,0.129,0.672,0.198
1320921,neu,0.2732,0.066,0.838,0.097
1320922,neu,-0.1531,0.159,0.701,0.14
1320923,neu,0.0,0.0,1.0,0.0
1320924,neu,-0.5562,0.174,0.826,0.0
1320925,neu,-0.685,0.267,0.733,0.0
1320926,neu,0.0,0.0,1.0,0.0
1320927,neu,-0.7678,0.092,0.886,0.022
1320928,neu,-0.0057,0.342,0.396,0.261
1320929,neg,-0.5423,0.778,0.222,0.0
1320930,neu,0.7783,0.0,0.562,0.438
1320931,neu,0.9028,0.0,0.894,0.106
1320932,neu,-0.4468,0.077,0.923,0.0
1320933,neu,0.1491,0.062,0.881,0.056
1320934,neu,0.3182,0.0,0.566,0.434
1320935,neu,-0.101,0.112,0.888,0.0
1320936,neu,-0.3182,0.127,0.8,0.073
1320937,neu,0.0772,0.0,0.86,0.14
1320938,neu,0.34,0.0,0.844,0.156
1320939,neu,0.0,0.0,1.0,0.0
1320940,neg,-0.9062,0.755,0.245,0.0
1320941,neu,0.0,0.0,1.0,0.0
1320942,neg,-0.7916,0.584,0.416,0.0
1320943,neu,-0.3182,0.117,0.813,0.071
1320944,neu,0.8834,0.0,0.744,0.256
1320945,neu,-0.7096,0.133,0.807,0.06
1320946,neu,0.7096,0.065,0.717,0.218
1320947,neu,0.4588,0.0,0.625,0.375
1320948,neu,0.0,0.0,1.0,0.0
1320949,neu,0.0,0.0,1.0,0.0
1320950,neu,0.0,0.0,1.0,0.0
1320951,neu,0.0,0.0,1.0,0.0
1320952,neu,0.5843,0.093,0.748,0.159
1320953,neg,-0.6705,0.6,0.4,0.0
1320954,neu,-0.5574,0.159,0.841,0.0
1320955,neu,0.4404,0.0,0.58,0.42
1320956,neu,0.0,0.0,1.0,0.0
1320957,neu,0.4701,0.096,0.768,0.136
1320958,neu,-0.3769,0.203,0.645,0.152
1320959,neu,0.7003,0.0,0.507,0.493
1320960,neu,-0.4439,0.147,0.853,0.0
1320961,neu,0.3612,0.0,0.615,0.385
1320962,neu,0.5106,0.0,0.82,0.18
1320963,neu,0.0,0.0,1.0,0.0
1320964,neu,-0.1901,0.261,0.536,0.203
1320965,neu,0.2732,0.0,0.704,0.296
1320966,neu,0.0,0.0,1.0,0.0
1320967,neu,0.4404,0.0,0.633,0.367
1320968,neu,0.0,0.0,1.0,0.0
1320969,neu,-0.3818,0.058,0.942,0.0
1320970,neu,-0.128,0.14,0.741,0.119
1320971,neu,0.0,0.0,1.0,0.0
1320972,neu,-0.5423,0.304,0.696,0.0
1320973,neu,0.4199,0.0,0.823,0.177
1320974,neu,0.0,0.0,1.0,0.0
1320975,neu,0.0,0.0,1.0,0.0
1320976,neg,-0.3182,0.458,0.241,0.301
1320977,neu,-0.8955,0.225,0.775,0.0
1320978,neu,0.1511,0.0,0.557,0.443
1320979,neu,0.2584,0.0,0.596,0.404
1320980,neu,0.0,0.0,1.0,0.0
1320981,neu,-0.3774,0.101,0.899,0.0
1320982,neu,-0.3384,0.081,0.919,0.0
1320983,neu,0.8074,0.0,0.672,0.328
1320984,neu,0.0,0.0,1.0,0.0
1320985,neu,0.6259,0.0,0.841,0.159
1320986,neu,-0.0772,0.031,0.916,0.053
1320987,neu,0.8413,0.039,0.813,0.148
1320988,neu,-0.4588,0.248,0.63,0.122
1320989,neu,0.0,0.0,1.0,0.0
1320990,neu,0.0,0.0,1.0,0.0
1320991,neu,-0.4224,0.181,0.683,0.136
1320992,neu,-0.5859,0.082,0.918,0.0
1320993,neu,0.3612,0.0,0.706,0.294
1320994,neu,-0.8178,0.225,0.684,0.09
1320995,neu,0.4019,0.0,0.828,0.172
1320996,neg,-0.3612,0.714,0.286,0.0
1321032,neu,-0.7394,0.165,0.835,0.0
1321033,neu,0.0,0.0,1.0,0.0
1321034,neu,0.0,0.0,1.0,0.0
1321035,neu,0.6234,0.0,0.797,0.203
1321036,neu,0.0,0.0,1.0,0.0
1321037,neu,0.6808,0.0,0.714,0.286
1321038,neu,0.128,0.123,0.726,0.151
1321039,neu,0.0,0.0,1.0,0.0
1321040,neu,0.6495,0.033,0.897,0.069
1321041,neu,-0.8225,0.234,0.649,0.118
1321042,neu,-0.34,0.056,0.917,0.027
1321043,neu,-0.3415,0.08,0.829,0.091
1321044,neu,0.9835,0.066,0.589,0.346
1321045,neu,0.0,0.0,1.0,0.0
1321046,neu,-0.5859,0.162,0.773,0.064
1321047,neu,0.0,0.072,0.856,0.072
1321048,neu,-0.0762,0.115,0.885,0.0
1321049,neu,0.7263,0.13,0.604,0.266
1321050,neu,-0.8598,0.136,0.788,0.076
1321051,neu,-0.8525,0.187,0.744,0.069
1321052,neu,0.9416,0.041,0.753,0.206
1321053,neu,0.7096,0.0,0.629,0.371
1321054,neu,0.25,0.113,0.704,0.183
1321055,neu,0.0,0.0,1.0,0.0
1321056,neg,-0.4939,1.0,0.0,0.0
1321057,neu,0.4404,0.0,0.896,0.104
1321058,neu,0.3182,0.133,0.679,0.187
1321059,pos,0.5709,0.0,0.351,0.649
1321060,neu,-0.2263,0.142,0.751,0.107
1321061,neu,-0.296,0.183,0.693,0.124
1321062,neu,-0.1604,0.097,0.821,0.081
1321063,neu,-0.1725,0.301,0.421,0.277
1321064,neu,0.6409,0.086,0.782,0.132
1321065,neu,0.0,0.0,1.0,0.0
1321066,neu,-0.2732,0.109,0.822,0.07
1321067,neu,-0.7041,0.199,0.66,0.141
1321068,neu,0.0,0.0,1.0,0.0
