"Jose Vizcaino"
"Jake Westbrook"
"Alfredo Aceves"
"Jonathan Albaladejo"
"Angel Berroa"
"Brian Bruney"
"A.J. Burnett"
"Melky Cabrera"
"Robinson Cano"
"Kevin Cash"
"Francisco Cervelli"
"Joba Chamberlain"
"Anthony Claggett"
"Phil Coke"
"Johnny Damon"
"Shelley Duncan"
"Mike Dunn"
"Brett Gardner"
"Chad Gaudin"
"Freddy Guzman"
"Jerry Hairston"
"Eric Hinske"
"Phil Hughes"
"Ian Kennedy"
"Damaso Marte"
"Hideki Matsui"
"Mark Melancon"
"Juan Miranda"
"Sergio Mitre"
"Jose Molina"
"Xavier Nady"
"Ramiro Pena"
"Edwar Ramirez"
"Cody Ransom"
"David Robertson"
"Alex Rodriguez"
"CC Sabathia"
"Nick Swisher"
"Mark Teixeira"
"Brett Tomko"
"Josh Towers"
"Jose Veras"
"Chien-Ming Wang"
