"Name","Year"
"Joe Collins",1950
"Jim Delsing",1950
"Joe DiMaggio HOF",1950
"Tom Ferrick",1950
"Whitey Ford HOF",1950
"Tommy Henrich",1950
"Johnny Hopp",1950
"Ralph Houk",1950
"Jackie Jensen",1950
"Billy Johnson",1950
"Don Johnson",1950
"Johnny Lindell",1950
"Eddie Lopat",1950
"Dave Madison",1950
"Cliff Mapes",1950
"Billy Martin",1950
"Johnny Mize HOF",1950
"Ernie Nevel",1950
"Gus Niarhos",1950
"Joe Ostrowski",1950
"Joe Page",1950
"Duane Pillette",1950
"Bob Porterfield",1950
"Vic Raschi",1950
"Allie Reynolds",1950
"Phil Rizzuto HOF",1950
"Fred Sanford",1950
"Charlie Silvera",1950
"Snuffy Stirnweiss",1950
"Dick Wakefield",1950
"Gene Woodling",1950
"Hank Workman",1950
"Hank Bauer",1951
"Yogi Berra HOF",1951
"Jim Brideweser",1951
"Bobby Brown",1951
"Tommy Byrne",1951
"Bob Cerv",1951
"Jerry Coleman",1951
"Joe Collins",1951
"Clint Courtney",1951
"Joe DiMaggio HOF",1951
"Tom Ferrick",1951
"Bobby Hogue",1951
"Johnny Hopp",1951
"Ralph Houk",1951
"Jackie Jensen",1951
"Billy Johnson",1951
"Jack Kramer",1951
"Bob Kuzava",1951
"Eddie Lopat",1951
"Mickey Mantle HOF",1951
"Cliff Mapes",1951
"Billy Martin",1951
"Gil McDougald",1951
"Johnny Mize HOF",1951
"Tom Morgan",1951
"Bob Muncrief",1951
"Ernie Nevel",1951
"Joe Ostrowski",1951
"Stubby Overmire",1951
"Bob Porterfield",1951
"Vic Raschi",1951
"Allie Reynolds",1951
"Phil Rizzuto HOF",1951
"Johnny Sain",1951
"Fred Sanford",1951
"Art Schallock",1951
"Spec Shea",1951
"Charlie Silvera",1951
"Bob Wiesler",1951
"Archie Wilson",1951
"Gene Woodling",1951
"Loren Babe",1952
"Hank Bauer",1952
"Yogi Berra HOF",1952
"Ewell Blackwell",1952
"Jim Brideweser",1952
"Bobby Brown",1952
"Andy Carey",1952
"Bob Cerv",1952
"Jerry Coleman",1952
"Joe Collins",1952
"Tom Gorman",1952
"Bobby Hogue",1952
"Johnny Hopp",1952
"Ralph Houk",1952
"Jackie Jensen",1952
"Charlie Keller",1952
"Bob Kuzava",1952
"Eddie Lopat",1952
"Mickey Mantle HOF",1952
"Billy Martin",1952
"Jim McDonald",1952
"Gil McDougald",1952
"Bill Miller",1952
"Johnny Mize HOF",1952
"Tom Morgan",1952
"Irv Noren",1952
"Joe Ostrowski",1952
"Vic Raschi",1952
"Allie Reynolds",1952
"Phil Rizzuto HOF",1952
"Johnny Sain",1952
"Ray Scarborough",1952
"Harry Schaeffer",1952
"Art Schallock",1952
"Johnny Schmitz",1952
"Kal Segrist",1952
"Charlie Silvera",1952
"Archie Wilson",1952
"Gene Woodling",1952
"Loren Babe",1953
"Hank Bauer",1953
"Yogi Berra HOF",1953
"Ewell Blackwell",1953
"Don Bollweg",1953
"Jim Brideweser",1953
"Andy Carey",1953
"Bob Cerv",1953
"Jerry Coleman",1953
"Joe Collins",1953
"Whitey Ford HOF",1953
"Tom Gorman",1953
"Ralph Houk",1953
"Steve Kraly",1953
"Bob Kuzava",1953
"Eddie Lopat",1953
"Mickey Mantle HOF",1953
"Billy Martin",1953
"Jim McDonald",1953
"Gil McDougald",1953
"Bill Miller",1953
"Willy Miranda",1953
"Johnny Mize HOF",1953
"Irv Noren",1953
"Vic Raschi",1953
"Bill Renna",1953
"Allie Reynolds",1953
"Phil Rizzuto HOF",1953
"Johnny Sain",1953
"Ray Scarborough",1953
"Art Schallock",1953
"Johnny Schmitz",1953
"Art Schult",1953
"Charlie Silvera",1953
"Gus Triandos",1953
"Frank Verdi",1953
"Gene Woodling",1953
"Hank Bauer",1956
"Yogi Berra HOF",1956
"Tommy Byrne",1956
"Andy Carey",1956
"Tom Carroll",1956
"Bob Cerv",1956
"Jim Coates",1956
"Jerry Coleman",1956
"Rip Coleman",1956
"Joe Collins",1956
"Sonny Dixon",1956
"Whitey Ford HOF",1956
"Bob Grim",1956
"Elston Howard",1956
"Billy Hunter",1956
"Jim Konstanty",1956
"Johnny Kucks",1956
"Don Larsen",1956
"Jerry Lumpe",1956
"Mickey Mantle HOF",1956
"Billy Martin",1956
"Mickey McDermott",1956
"Gil McDougald",1956
"Tom Morgan",1956
"Irv Noren",1956
"Bobby Richardson",1956
"Phil Rizzuto HOF",1956
"Eddie Robinson",1956
"Norm Siebern",1956
"Charlie Silvera",1956
"Lou Skizas",1956
"Bill Skowron",1956
"Enos Slaughter HOF",1956
"Gerry Staley",1956
"Tom Sturdivant",1956
"Ralph Terry",1956
"Bob Turley",1956
"George Wilson",1956
"Hank Bauer",1958
"Yogi Berra HOF",1958
"Fritz Brickell",1958
"Andy Carey",1958
"Bobby Del Greco",1958
"Murry Dickson",1958
"Art Ditmar",1958
"Ryne Duren",1958
"Whitey Ford HOF",1958
"Bob Grim",1958
"Elston Howard",1958
"Johnny James",1958
"Darrell Johnson",1958
"Tony Kubek",1958
"Johnny Kucks",1958
"Don Larsen",1958
"Jerry Lumpe",1958
"Duke Maas",1958
"Sal Maglie",1958
"Mickey Mantle HOF",1958
"Gil McDougald",1958
"Zach Monroe",1958
"Bobby Richardson",1958
"Bobby Shantz",1958
"Norm Siebern",1958
"Harry Simpson",1958
"Bill Skowron",1958
"Enos Slaughter HOF",1958
"Tom Sturdivant",1958
"Marv Throneberry",1958
"Virgil Trucks",1958
"Bob Turley",1958
"Luis Arroyo",1961
"Yogi Berra HOF",1961
"Johnny Blanchard",1961
"Clete Boyer",1961
"Bob Cerv",1961
"Tex Clevenger",1961
"Jim Coates",1961
"Bud Daley",1961
"Joe DeMaestri",1961
"Art Ditmar",1961
"Al Downing",1961
"Ryne Duren",1961
"Whitey Ford HOF",1961
"Billy Gardner",1961
"Jesse Gonder",1961
"Bob Hale",1961
"Elston Howard",1961
"Johnny James",1961
"Deron Johnson",1961
"Tony Kubek",1961
"Hector Lopez",1961
"Duke Maas",1961
"Mickey Mantle HOF",1961
"Roger Maris",1961
"Danny McDevitt",1961
"Jack Reed",1961
"Hal Reniff",1961
"Bobby Richardson",1961
"Rollie Sheldon",1961
"Bill Skowron",1961
"Bill Stafford",1961
"Ralph Terry",1961
"Lee Thomas",1961
"Earl Torgeson",1961
"Tom Tresh",1961
"Bob Turley",1961
"Luis Arroyo",1962
"Yogi Berra HOF",1962
"Johnny Blanchard",1962
"Jim Bouton",1962
"Clete Boyer",1962
"Marshall Bridges",1962
"Hal Brown",1962
"Bob Cerv",1962
"Tex Clevenger",1962
"Jim Coates",1962
"Jack Cullen",1962
"Bud Daley",1962
"Al Downing",1962
"Whitey Ford HOF",1962
"Billy Gardner",1962
"Jake Gibbs",1962
"Elston Howard",1962
"Tony Kubek",1962
"Phil Linz",1962
"Dale Long",1962
"Hector Lopez",1962
"Mickey Mantle HOF",1962
"Roger Maris",1962
"Joe Pepitone",1962
"Jack Reed",1962
"Hal Reniff",1962
"Bobby Richardson",1962
"Rollie Sheldon",1962
"Bill Skowron",1962
"Bill Stafford",1962
"Ralph Terry",1962
"Tom Tresh",1962
"Bob Turley",1962
"Dell Alston",1977
"Dave Bergman",1977
"Paul Blair",1977
"Chris Chambliss",1977
"Ken Clay",1977
"Bucky Dent",1977
"Dock Ellis",1977
"Ed Figueroa",1977
"Ron Guidry",1977
"Don Gullett",1977
"Fran Healy",1977
"Elrod Hendricks",1977
"Ken Holtzman",1977
"Catfish Hunter HOF",1977
"Reggie Jackson HOF",1977
"Cliff Johnson",1977
"Dave Kingman",1977
"Mickey Klutts",1977
"Gene Locklear",1977
"Sparky Lyle",1977
"Carlos May",1977
"Larry McCall",1977
"Thurman Munson",1977
"Graig Nettles",1977
"Gil Patterson",1977
"Marty Perez",1977
"Lou Piniella",1977
"Willie Randolph",1977
"Mickey Rivers",1977
"Fred Stanley",1977
"Stan Thomas",1977
"Dick Tidrow",1977
"Mike Torrez",1977
"Roy White",1977
"Jim Wynn",1977
"George Zeber",1977
"Dell Alston",1978
"Jim Beattie",1978
"Paul Blair",1978
"Chris Chambliss",1978
"Ken Clay",1978
"Ron Davis",1978
"Bucky Dent",1978
"Brian Doyle",1978
"Rawly Eastwick",1978
"Ed Figueroa",1978
"Damaso Garcia",1978
"Rich Gossage HOF",1978
"Ron Guidry",1978
"Don Gullett",1978
"Fran Healy",1978
"Mike Heath",1978
"Ken Holtzman",1978
"Catfish Hunter HOF",1978
