"Mike Gazella","Harvey Hendrick"
"Mike Gazella","Fred Hofmann"
"Waite Hoyt HOF","Mike Gazella"
"Mike Gazella","Ernie Johnson"
"Sad Sam Jones","Mike Gazella"
"Mike Gazella","Carl Mays"
"Mike McNally","Mike Gazella"
"Mike Gazella","Bob Meusel"
"Mike Gazella","Herb Pennock HOF"
"Mike Gazella","George Pipgras"
"Wally Pipp","Mike Gazella"
"Oscar Roettger","Mike Gazella"
"Mike Gazella","Babe Ruth HOF"
"Wally Schang","Mike Gazella"
"Mike Gazella","Everett Scott"
"Mike Gazella","Bob Shawkey"
"Mike Gazella","Elmer Smith"
"Mike Gazella","Aaron Ward"
"Whitey Witt","Mike Gazella"
"Lou Gehrig HOF","Hinkey Haines"
"Lou Gehrig HOF","Harvey Hendrick"
"Lou Gehrig HOF","Fred Hofmann"
"Waite Hoyt HOF","Lou Gehrig HOF"
"Lou Gehrig HOF","Ernie Johnson"
"Sad Sam Jones","Lou Gehrig HOF"
"Lou Gehrig HOF","Carl Mays"
"Mike McNally","Lou Gehrig HOF"
"Lou Gehrig HOF","Bob Meusel"
"Lou Gehrig HOF","Herb Pennock HOF"
"Lou Gehrig HOF","George Pipgras"
"Wally Pipp","Lou Gehrig HOF"
"Oscar Roettger","Lou Gehrig HOF"
"Lou Gehrig HOF","Babe Ruth HOF"
"Wally Schang","Lou Gehrig HOF"
"Lou Gehrig HOF","Everett Scott"
"Lou Gehrig HOF","Bob Shawkey"
"Lou Gehrig HOF","Elmer Smith"
"Lou Gehrig HOF","Aaron Ward"
"Whitey Witt","Lou Gehrig HOF"
"Hinkey Haines","Harvey Hendrick"
"Hinkey Haines","Fred Hofmann"
"Waite Hoyt HOF","Hinkey Haines"
"Hinkey Haines","Ernie Johnson"
"Sad Sam Jones","Hinkey Haines"
"Hinkey Haines","Carl Mays"
"Mike McNally","Hinkey Haines"
"Hinkey Haines","Bob Meusel"
"Hinkey Haines","Herb Pennock HOF"
"Hinkey Haines","George Pipgras"
"Wally Pipp","Hinkey Haines"
"Oscar Roettger","Hinkey Haines"
"Hinkey Haines","Babe Ruth HOF"
"Wally Schang","Hinkey Haines"
"Hinkey Haines","Everett Scott"
"Hinkey Haines","Bob Shawkey"
"Hinkey Haines","Elmer Smith"
"Hinkey Haines","Aaron Ward"
"Whitey Witt","Hinkey Haines"
"Harvey Hendrick","Fred Hofmann"
"Waite Hoyt HOF","Harvey Hendrick"
"Harvey Hendrick","Ernie Johnson"
"Sad Sam Jones","Harvey Hendrick"
"Harvey Hendrick","Carl Mays"
"Mike McNally","Harvey Hendrick"
"Harvey Hendrick","Bob Meusel"
"Herb Pennock HOF","Harvey Hendrick"
"Harvey Hendrick","George Pipgras"
"Wally Pipp","Harvey Hendrick"
"Oscar Roettger","Harvey Hendrick"
"Harvey Hendrick","Babe Ruth HOF"
"Wally Schang","Harvey Hendrick"
"Harvey Hendrick","Everett Scott"
"Harvey Hendrick","Bob Shawkey"
"Harvey Hendrick","Elmer Smith"
"Harvey Hendrick","Aaron Ward"
"Whitey Witt","Harvey Hendrick"
"Waite Hoyt HOF","Fred Hofmann"
"Fred Hofmann","Ernie Johnson"
"Sad Sam Jones","Fred Hofmann"
"Fred Hofmann","Carl Mays"
"Mike McNally","Fred Hofmann"
"Fred Hofmann","Bob Meusel"
"Herb Pennock HOF","Fred Hofmann"
"George Pipgras","Fred Hofmann"
"Wally Pipp","Fred Hofmann"
"Oscar Roettger","Fred Hofmann"
"Fred Hofmann","Babe Ruth HOF"
"Wally Schang","Fred Hofmann"
"Fred Hofmann","Everett Scott"
"Fred Hofmann","Bob Shawkey"
"Fred Hofmann","Elmer Smith"
"Fred Hofmann","Aaron Ward"
"Whitey Witt","Fred Hofmann"
"Waite Hoyt HOF","Ernie Johnson"
"Waite Hoyt HOF","Sad Sam Jones"
"Waite Hoyt HOF","Carl Mays"
"Waite Hoyt HOF","Mike McNally"
"Waite Hoyt HOF","Bob Meusel"
"Waite Hoyt HOF","Herb Pennock HOF"
"Waite Hoyt HOF","George Pipgras"
"Wally Pipp","Waite Hoyt HOF"
"Waite Hoyt HOF","Oscar Roettger"
"Waite Hoyt HOF","Babe Ruth HOF"
"Wally Schang","Waite Hoyt HOF"
"Waite Hoyt HOF","Everett Scott"
"Waite Hoyt HOF","Bob Shawkey"
"Waite Hoyt HOF","Elmer Smith"
