"Candidate","Date","Title","SpeechUrl","FileName"
"Hillary Clinton","January 19, 2008","Remarks Following the Nevada Caucuses","http://www.presidency.ucsb.edu/ws/index.php?pid=76270","Hillary-Clinton-January-19-2008-54.txt"
"Hillary Clinton","January 22, 2008","Remarks to Reporters on the Global Economic Crisis","http://www.presidency.ucsb.edu/ws/index.php?pid=96494","Hillary-Clinton-January-22-2008-55.txt"
"Hillary Clinton","January 24, 2008","Remarks on Solutions for the American Economy","http://www.presidency.ucsb.edu/ws/index.php?pid=77087","Hillary-Clinton-January-24-2008-56.txt"
"Hillary Clinton","January 26, 2008","Remarks Following the South Carolina Primary","http://www.presidency.ucsb.edu/ws/index.php?pid=76309","Hillary-Clinton-January-26-2008-57.txt"
"Hillary Clinton","January 27, 2008","Interview with Bob Schieffer on CBS News' "Face the Nation"","http://www.presidency.ucsb.edu/ws/index.php?pid=78604","Hillary-Clinton-January-27-2008-58.txt"
"Hillary Clinton","January 28, 2008","Remarks Before the State of the Union in Hartford, Connecticut","http://www.presidency.ucsb.edu/ws/index.php?pid=77088","Hillary-Clinton-January-28-2008-59.txt"
"Hillary Clinton","January 29, 2008","Remarks Following the Florida Primary","http://www.presidency.ucsb.edu/ws/index.php?pid=76308","Hillary-Clinton-January-29-2008-60.txt"
"Hillary Clinton","January 31, 2008","Remarks at Baptist Convention in Atlanta","http://www.presidency.ucsb.edu/ws/index.php?pid=77089","Hillary-Clinton-January-31-2008-61.txt"
"Hillary Clinton","February 3, 2008","Interview with George Stephanopoulos on ABC News' "This Week"","http://www.presidency.ucsb.edu/ws/index.php?pid=77316","Hillary-Clinton-February-3-2008-62.txt"
"Hillary Clinton","February 5, 2008","Remarks Following the "Super Tuesday" Primaries and Caucuses","http://www.presidency.ucsb.edu/ws/index.php?pid=76362","Hillary-Clinton-February-5-2008-63.txt"
"Hillary Clinton","February 9, 2008","Remarks at the Virginia Jefferson-Jackson Dinner","http://www.presidency.ucsb.edu/ws/index.php?pid=76557","Hillary-Clinton-February-9-2008-64.txt"
"Hillary Clinton","February 12, 2008","Remarks Following the Maryland, Virginia, and District of Columbia Primaries","http://www.presidency.ucsb.edu/ws/index.php?pid=76457","Hillary-Clinton-February-12-2008-65.txt"
"Hillary Clinton","February 13, 2008","Remarks at a Town Hall with General Motors Employees in Warren, Ohio","http://www.presidency.ucsb.edu/ws/index.php?pid=115937","Hillary-Clinton-February-13-2008-66.txt"
"Hillary Clinton","February 16, 2008","Remarks at the Wisconsin Founders Day Gala in Milwaukee","http://www.presidency.ucsb.edu/ws/index.php?pid=77090","Hillary-Clinton-February-16-2008-67.txt"
"Hillary Clinton","February 19, 2008","Remarks Following the Wisconsin Primary at the Solutions for America Event in Youngstown, Ohio","http://www.presidency.ucsb.edu/ws/index.php?pid=76559","Hillary-Clinton-February-19-2008-68.txt"
"Hillary Clinton","February 20, 2008","Remarks at Hunter College in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=77093","Hillary-Clinton-February-20-2008-69.txt"
"Hillary Clinton","February 25, 2008","Remarks on Foreign Policy at George Washington University in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=77094","Hillary-Clinton-February-25-2008-70.txt"
"Hillary Clinton","February 27, 2008","Remarks at the Economic Summit in Zanesville, Ohio","http://www.presidency.ucsb.edu/ws/index.php?pid=77095","Hillary-Clinton-February-27-2008-71.txt"
"Hillary Clinton","March 1, 2008","Excerpts of Remarks at a Rally in Fort Worth, Texas","http://www.presidency.ucsb.edu/ws/index.php?pid=96540","Hillary-Clinton-March-1-2008-72.txt"
"Hillary Clinton","March 4, 2008","Remarks Following the Ohio, Rhode Island, Texas, and Vermont Primaries","http://www.presidency.ucsb.edu/ws/index.php?pid=76466","Hillary-Clinton-March-4-2008-73.txt"
"Hillary Clinton","March 11, 2008","Excerpts of Remarks in Harrisburg, Pennsylvania","http://www.presidency.ucsb.edu/ws/index.php?pid=96547","Hillary-Clinton-March-11-2008-74.txt"
"Hillary Clinton","March 17, 2008","Remarks at The George Washingon University in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=77096","Hillary-Clinton-March-17-2008-75.txt"
"Hillary Clinton","March 19, 2008","Remarks at the "Solutions for America" Event in Detroit, Michigan","http://www.presidency.ucsb.edu/ws/index.php?pid=77097","Hillary-Clinton-March-19-2008-76.txt"
"Hillary Clinton","March 24, 2008","Remarks on Halting the Housing Crisis at the University of Pennsylvania in Philadelphia","http://www.presidency.ucsb.edu/ws/index.php?pid=77098","Hillary-Clinton-March-24-2008-77.txt"
"Hillary Clinton","March 25, 2008","Excerpts of Remarks to Reporters in Greensburg, Pennsylvania","http://www.presidency.ucsb.edu/ws/index.php?pid=96562","Hillary-Clinton-March-25-2008-78.txt"
"Hillary Clinton","April 1, 2008","Remarks at the Pennsylvania A.F.L.-C.I.O. in Harrisburg","http://www.presidency.ucsb.edu/ws/index.php?pid=77099","Hillary-Clinton-April-1-2008-79.txt"
"Hillary Clinton","April 4, 2008","Remarks on the 40th Anniversary of Dr. King's Death in Memphis, Tennessee","http://www.presidency.ucsb.edu/ws/index.php?pid=77100","Hillary-Clinton-April-4-2008-80.txt"
"Hillary Clinton","April 5, 2008","Remarks at the Montana Democratic Party Mansfield-Metcalf Dinner in Butte","http://www.presidency.ucsb.edu/ws/index.php?pid=77101","Hillary-Clinton-April-5-2008-81.txt"
"Hillary Clinton","April 9, 2008","Remarks at a Town Hall Meeting in Aliquippa, Pennsylvania","http://www.presidency.ucsb.edu/ws/index.php?pid=96576","Hillary-Clinton-April-9-2008-82.txt"
"Hillary Clinton","April 12, 2008","Remarks at a Campaign Event in Indianapolis, Indiana","http://www.presidency.ucsb.edu/ws/index.php?pid=96586","Hillary-Clinton-April-12-2008-83.txt"
"Hillary Clinton","April 13, 2008","Remarks at the Compassion Forum","http://www.presidency.ucsb.edu/ws/index.php?pid=77153","Hillary-Clinton-April-13-2008-84.txt"
"Hillary Clinton","April 15, 2008","Remarks to the Newspaper Association of America's Annual Conference in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=77044","Hillary-Clinton-April-15-2008-85.txt"
"Hillary Clinton","April 21, 2008","Interview with Keith Olbermann on MSNBC's "Countdown"","http://www.presidency.ucsb.edu/ws/index.php?pid=77155","Hillary-Clinton-April-21-2008-86.txt"
"Hillary Clinton","April 21, 2008","Interview with Larry King","http://www.presidency.ucsb.edu/ws/index.php?pid=77156","Hillary-Clinton-April-21-2008-87.txt"
"Hillary Clinton","April 22, 2008","Remarks Following the Pennsylvania Primary","http://www.presidency.ucsb.edu/ws/index.php?pid=77091","Hillary-Clinton-April-22-2008-88.txt"
"Hillary Clinton","April 30, 2008","Excerpts of Hillary Clinton's Interview on the "Bob and Tom" Show","http://www.presidency.ucsb.edu/ws/index.php?pid=96608","Hillary-Clinton-April-30-2008-89.txt"
"Hillary Clinton","May 3, 2008","Remarks in Wake Forest, North Carolina","http://www.presidency.ucsb.edu/ws/index.php?pid=96614","Hillary-Clinton-May-3-2008-90.txt"
"Hillary Clinton","May 4, 2008","Interview with George Stephanopoulos on ABC News' "This Week"","http://www.presidency.ucsb.edu/ws/index.php?pid=77207","Hillary-Clinton-May-4-2008-91.txt"
"Hillary Clinton","May 5, 2008","Interview with Katie Couric of CBS News","http://www.presidency.ucsb.edu/ws/index.php?pid=77751","Hillary-Clinton-May-5-2008-92.txt"
"Hillary Clinton","May 6, 2008","Remarks Following the Indiana and North Carolina Primaries","http://www.presidency.ucsb.edu/ws/index.php?pid=77202","Hillary-Clinton-May-6-2008-93.txt"
"Hillary Clinton","May 11, 2008","Remarks in Grafton, West Virginia","http://www.presidency.ucsb.edu/ws/index.php?pid=77301","Hillary-Clinton-May-11-2008-94.txt"
"Hillary Clinton","May 13, 2008","Remarks Following the West Virginia Primary","http://www.presidency.ucsb.edu/ws/index.php?pid=77302","Hillary-Clinton-May-13-2008-95.txt"
"Hillary Clinton","May 14, 2008","Interview with Wolf Blitzer on CNN's "The Situation Room"","http://www.presidency.ucsb.edu/ws/index.php?pid=77308","Hillary-Clinton-May-14-2008-96.txt"
"Hillary Clinton","May 14, 2008","Interview with Charlie Gibson of ABC News","http://www.presidency.ucsb.edu/ws/index.php?pid=77320","Hillary-Clinton-May-14-2008-97.txt"
"Hillary Clinton","May 14, 2008","Interview with Katie Couric of CBS News","http://www.presidency.ucsb.edu/ws/index.php?pid=77754","Hillary-Clinton-May-14-2008-98.txt"
"Hillary Clinton","May 18, 2008","Interview with Wolf Blitzer on CNN's "Late Edition"","http://www.presidency.ucsb.edu/ws/index.php?pid=77371","Hillary-Clinton-May-18-2008-99.txt"
"Hillary Clinton","May 20, 2008","Remarks Following the Kentucky and Oregon Primaries","http://www.presidency.ucsb.edu/ws/index.php?pid=77322","Hillary-Clinton-May-20-2008-100.txt"
"Hillary Clinton","May 21, 2008","Remarks on Counting Every Vote at a "Solutions for America" event in Boca Raton, Florida","http://www.presidency.ucsb.edu/ws/index.php?pid=77358","Hillary-Clinton-May-21-2008-101.txt"
"Hillary Clinton","May 28, 2008","Letter to Superdelegates","http://www.presidency.ucsb.edu/ws/index.php?pid=77413","Hillary-Clinton-May-28-2008-102.txt"
"Hillary Clinton","June 1, 2008","Remarks Following the Puerto Rico Primary","http://www.presidency.ucsb.edu/ws/index.php?pid=77403","Hillary-Clinton-June-1-2008-103.txt"
"Hillary Clinton","June 3, 2008","Remarks in New York City Following the Montana and South Dakota Primaries","http://www.presidency.ucsb.edu/ws/index.php?pid=77411","Hillary-Clinton-June-3-2008-104.txt"
"Hillary Clinton","June 4, 2008","Remarks to the American Israel Public Affairs Committee Policy Conference in Washington, D.C.","http://www.presidency.ucsb.edu/ws/index.php?pid=77435","Hillary-Clinton-June-4-2008-105.txt"
"Hillary Clinton","June 7, 2008","Remarks Conceding the Democratic Presidential Nomination","http://www.presidency.ucsb.edu/ws/index.php?pid=77436","Hillary-Clinton-June-7-2008-106.txt"
"Hillary Clinton","August 26, 2008","Address at the Democratic National Convention in Denver: "United We Can Build a Better America"","http://www.presidency.ucsb.edu/ws/index.php?pid=78527","Hillary-Clinton-August-26-2008-107.txt"
"Hillary Clinton","April 12, 2015","Video Remarks Announcing Candidacy for President","http://www.presidency.ucsb.edu/ws/index.php?pid=110028","Hillary-Clinton-April-12-2015-108.txt"
"Hillary Clinton","April 14, 2015","Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=110044","Hillary-Clinton-April-14-2015-109.txt"
"Hillary Clinton","April 20, 2015","Remarks in Keene, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=110045","Hillary-Clinton-April-20-2015-110.txt"
"Hillary Clinton","April 29, 2015","Address to the David N. Dinkins Leadership & Public Policy Forum at Columbia University in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=110274","Hillary-Clinton-April-29-2015-111.txt"
"Hillary Clinton","May 5, 2015","Remarks at a Roundtable with Young Nevada Residents in Las Vegas, Nevada","http://www.presidency.ucsb.edu/ws/index.php?pid=110272","Hillary-Clinton-May-5-2015-112.txt"
"Hillary Clinton","May 18, 2015","Remarks at a Campaign Event in Mason City, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=111420","Hillary-Clinton-May-18-2015-113.txt"
"Hillary Clinton","May 19, 2015","Remarks in Cedar Falls, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=110271","Hillary-Clinton-May-19-2015-114.txt"
"Hillary Clinton","May 20, 2015","Remarks in Chicago, Illinois","http://www.presidency.ucsb.edu/ws/index.php?pid=110270","Hillary-Clinton-May-20-2015-115.txt"
